Storm_1,HOBOTEMP_1,WL,ADJ WL_1,NUT_DATE/TIME,TDN_1,DON,NH4_1,DOC_1,NO3_1
8/2/16 20:45,26.292,0.189,0.189,8/3/16 6:29,2.111070552,1.525258495,0.402508646,42.48438661,0.183303411
8/2/16 21:00,26.195,0.286,0.286,8/3/16 6:59,2.265656543,1.636506666,0.423404814,43.10995153,0.205745063
8/2/16 21:15,26.097,0.201,0.201,8/3/16 7:29,2.133197566,1.575856786,0.367753706,43.07036243,0.189587074
8/2/16 21:30,26,0.274,0.274,8/3/16 7:59,2.080593514,1.606580314,0.347262751,42.82236497,0.126750449
8/2/16 21:45,25.902,0.21,0.21,8/3/16 8:29,2.00505944,1.549821147,0.330283176,42.3767983,0.124955117
8/2/16 22:00,25.902,0.265,0.265,8/3/16 8:59,2.040783601,1.663542268,0.285499861,41.47606199,0.091741472
8/2/16 22:15,25.805,0.161,0.161,8/3/16 9:29,2.033426501,1.671627158,0.277239199,41.40821939,0.084560144
8/2/16 22:30,25.708,0.276,0.276,8/3/16 9:59,2.012279294,1.602657187,0.296336649,41.17557021,0.113285458
8/2/16 22:45,25.708,0.116,0.116,8/3/16 10:29,2.067538117,1.707062523,0.27591545,41.07265295,0.084560144
8/2/16 23:00,25.61,0.28,0.28,8/3/16 10:59,1.992895583,1.622127797,0.286207642,41.37940203,0.084560144
8/2/16 23:15,25.61,0.125,0.125,8/3/16 11:29,2.025132693,1.682067613,0.258504936,40.80677154,0.084560144
8/2/16 23:30,25.61,0.278,0.278,8/3/16 11:59,2.081052753,1.518599174,0.37645717,43.06000082,0.185996409
8/2/16 23:45,25.61,0.186,0.186,8/3/16 12:29,1.985215742,1.616403452,0.284252146,41.15926843,0.084560144
8/3/16 0:00,25.513,0.263,0.263,8/3/16 12:59,2.002464011,1.616507709,0.289726499,40.96700125,0.096229803
8/3/16 0:15,25.416,0.323,0.323,8/3/16 13:29,1.976243032,1.630378006,0.245146893,40.40086839,0.100718133
8/3/16 0:30,25.513,0.185,0.185,8/3/16 13:59,1.981824211,1.640833498,0.228602921,40.39526578,0.112387792
8/3/16 0:45,25.319,0.29,0.29,8/3/16 14:29,1.938878132,1.654366459,0.199951529,40.47917326,0.084560144
8/3/16 1:00,25.416,0.203,0.203,8/3/16 14:59,1.985267788,1.649550103,0.227818224,41.19110263,0.107899461
8/3/16 1:15,25.222,0.291,0.291,8/3/16 15:29,1.926711204,1.644112983,0.198038077,40.79210684,0.084560144
8/3/16 1:30,25.319,0.204,0.204,8/3/16 15:59,1.901593196,1.617459243,0.199573809,40.41240205,0.084560144
8/3/16 1:45,25.222,0.256,0.256,8/3/16 16:29,1.932996097,1.637004435,0.211431518,40.6573247,0.084560144
8/3/16 2:00,25.222,0.175,0.175,8/3/16 16:59,1.921738045,1.619328109,0.212463796,40.61615697,0.08994614
8/3/16 2:15,25.125,0.259,0.259,8/3/16 17:29,2.002648702,1.669713972,0.248374586,40.54579253,0.084560144
8/3/16 2:30,25.125,0.316,0.316,8/3/16 17:59,2.011179611,1.620180061,0.28040709,41.74905319,0.11059246
8/3/16 2:45,25.222,0.167,0.167,8/3/16 18:29,2.344500348,2.135146511,0.124793693,35.6279583,0.084560144
8/3/16 3:00,25.028,0.28,0.28,8/3/16 18:59,2.023714766,1.707440101,0.231714521,40.58627438,0.084560144
8/3/16 3:15,25.125,0.172,0.172,8/3/16 19:29,2.026076906,1.667594676,0.273922086,40.96833594,0.084560144
8/3/16 3:30,25.125,0.258,0.258,8/3/16 19:59,1.999560901,1.667031112,0.247969645,40.67899937,0.084560144
8/3/16 3:45,25.028,0.282,0.282,8/3/16 20:29,2.101469287,1.734174706,0.282734437,41.42091278,0.084560144
8/3/16 4:00,25.028,0.219,0.219,8/3/16 20:59,2.102679467,1.749527474,0.268591849,41.15177051,0.084560144
8/3/16 4:15,24.931,0.295,0.295,8/3/16 21:29,1.981394412,1.625960652,0.270873616,41.30557294,0.084560144
8/3/16 4:30,25.028,0.163,0.163,8/3/16 21:59,2.083795818,1.654916623,0.328161062,39.8550176,0.100718133
8/3/16 4:45,24.931,0.275,0.275,8/3/16 22:29,2.093719773,1.634915406,0.349109573,42.12316581,0.109694794
8/3/16 5:00,24.931,0.176,0.176,8/3/16 22:59,2.138555583,1.666360706,0.387634733,41.77324028,0.084560144
8/3/16 5:15,24.835,0.274,0.274,8/3/16 23:29,2.069858286,1.597945255,0.384659889,41.103874,0.087253142
8/3/16 5:30,24.931,0.179,0.179,8/3/16 23:59,2.00778577,1.592730142,0.330495484,40.89405639,0.084560144
8/3/16 5:45,24.738,0.273,0.273,,,,,,
8/3/16 6:00,24.835,0.162,0.162,,,,,,
8/3/16 6:15,24.738,0.266,0.266,,,,,,
8/3/16 6:30,24.738,0.13,0.13,,,,,,
8/3/16 6:45,24.641,0.26,0.26,,,,,,
8/3/16 7:00,24.641,0.126,0.126,,,,,,
8/3/16 7:15,24.641,0.258,0.258,,,,,,
8/3/16 7:30,24.738,0.157,0.157,,,,,,
8/3/16 7:45,24.641,0.252,0.252,,,,,,
8/3/16 8:00,24.641,0.184,0.184,,,,,,
8/3/16 8:15,24.738,0.246,0.246,,,,,,
8/3/16 8:30,24.738,0.218,0.218,,,,,,
8/3/16 8:45,24.835,0.235,0.235,,,,,,
8/3/16 9:00,24.835,0.259,0.259,,,,,,
8/3/16 9:15,25.125,0.224,0.224,,,,,,
8/3/16 9:30,25.028,0.286,0.286,,,,,,
8/3/16 9:45,25.416,0.2,0.2,,,,,,
8/3/16 10:00,25.319,0.272,0.272,,,,,,
8/3/16 10:15,25.61,0.16,0.16,,,,,,
8/3/16 10:30,25.805,0.26,0.26,,,,,,
8/3/16 10:45,25.805,0.214,0.214,,,,,,
8/3/16 11:00,26.195,0.236,0.236,,,,,,
8/3/16 11:15,26.097,0.291,0.291,,,,,,
8/3/16 11:30,26.488,0.205,0.205,,,,,,
8/3/16 11:45,26.585,0.273,0.273,,,,,,
8/3/16 12:00,26.683,0.153,0.153,,,,,,
8/3/16 12:15,27.075,0.247,0.247,,,,,,
8/3/16 12:30,27.075,0.295,0.295,,,,,,
8/3/16 12:45,27.665,0.218,0.218,,,,,,
8/3/16 13:00,27.764,0.278,0.278,,,,,,
8/3/16 13:15,27.862,0.159,0.159,,,,,,
8/3/16 13:30,28.456,0.254,0.254,,,,,,
8/3/16 13:45,28.456,0.239,0.239,,,,,,
8/3/16 14:00,28.953,0.229,0.229,,,,,,
8/3/16 14:15,29.152,0.283,0.283,,,,,,
8/3/16 14:30,29.152,0.19,0.19,,,,,,
8/3/16 14:45,29.552,0.263,0.263,,,,,,
8/3/16 15:00,29.552,0.21,0.21,,,,,,
8/3/16 15:15,29.552,0.235,0.235,,,,,,
8/3/16 15:30,29.752,0.284,0.284,,,,,,
8/3/16 15:45,29.352,0.155,0.155,,,,,,
8/3/16 16:00,29.752,0.25,0.25,,,,,,
8/3/16 16:15,29.752,0.292,0.292,,,,,,
8/3/16 16:30,29.752,0.211,0.211,,,,,,
8/3/16 16:45,29.953,0.27,0.27,,,,,,
8/3/16 17:00,29.452,0.302,0.302,,,,,,
8/3/16 17:15,29.352,0.189,0.189,,,,,,
8/3/16 17:30,29.752,0.264,0.264,,,,,,
8/3/16 17:45,29.552,0.299,0.299,,,,,,
8/3/16 18:00,29.152,0.196,0.196,,,,,,
8/3/16 18:15,29.252,0.241,0.241,,,,,,
8/3/16 18:30,29.152,0.285,0.285,,,,,,
8/3/16 18:45,28.853,0.281,0.281,,,,,,
8/3/16 19:00,28.655,0.216,0.216,,,,,,
8/3/16 19:15,28.555,0.273,0.273,,,,,,
8/3/16 19:30,28.456,0.303,0.303,,,,,,
8/3/16 19:45,28.258,0.258,0.258,,,,,,
8/3/16 20:00,28.06,0.227,0.227,,,,,,
8/3/16 20:15,27.862,0.277,0.277,,,,,,
8/3/16 20:30,27.862,0.306,0.306,,,,,,
8/3/16 20:45,27.665,0.326,0.326,,,,,,
8/3/16 21:00,27.468,0.198,0.198,,,,,,
8/3/16 21:15,27.272,0.267,0.267,,,,,,
8/3/16 21:30,27.173,0.3,0.3,,,,,,
8/3/16 21:45,27.075,0.323,0.323,,,,,,
8/3/16 22:00,27.075,0.338,0.338,,,,,,
8/3/16 22:15,26.977,0.352,0.352,,,,,,
8/3/16 22:30,26.977,0.302,0.302,,,,,,
8/3/16 22:45,26.879,0.214,0.214,,,,,,
8/3/16 23:00,26.585,0.282,0.282,,,,,,
8/3/16 23:15,26.585,0.311,0.311,,,,,,
8/3/16 23:30,26.585,0.332,0.332,,,,,,
8/3/16 23:45,26.585,0.348,0.348,,,,,,
8/4/16 0:00,26.585,0.361,0.361,,,,,,
