ID,Date,Month,Site,Hydrology,Road,AirTemp,pH,Moisture,ugNH4.gDM,ugNO3.gDM,TOC,TN,CNratio,denitrification,nitrification,Nmineralization
2,12/13/17,3.December,Ag,wet,far,1.66,5.75,28.2,4.723,0.753,3.40,0.14,24.286,846.730,1.126,0.983
3,12/13/17,3.December,Ag,dry,near,1.66,6.06,24.23,7.710,0.653,2.38,0.13,18.308,988.290,3.020,1.599
4,12/13/17,3.December,Ag,dry,far,1.66,5.65,24.96,5.001,0.461,3.08,0.13,23.692,533.990,2.056,1.752
5,12/13/17,3.December,Ag,wet,near,1.66,5.9,18.5,3.433,0.662,1.93,0.09,21.444,363.280,1.980,1.593
6,12/13/17,3.December,Ag,wet,far,1.66,5.56,27.17,6.110,0.780,2.42,0.12,20.167,164.770,4.907,1.658
7,12/13/17,3.December,Ag,dry,near,1.66,5.9,23.85,5.877,0.796,2.03,0.12,16.917,1299.080,5.094,1.858
8,12/13/17,3.December,Ag,dry,far,1.66,5.88,21.39,3.192,0.662,2.03,0.11,18.455,818.770,3.727,0.580
9,12/13/17,3.December,Ag,wet,near,1.66,6.14,23.36,9.278,0.442,2.80,0.13,21.538,536.680,2.061,2.944
10,12/13/17,3.December,Ag,dry,far,1.66,5.93,21.58,5.545,0.739,1.46,0.08,18.250,899.110,5.009,1.625
11,12/13/17,3.December,Ag,wet,near,1.66,6.06,24.76,5.659,0.461,2.87,0.15,19.133,1224.330,3.998,2.220
12,12/13/17,3.December,Ag,dry,far,1.66,5.76,24.66,7.150,0.823,2.81,0.12,23.417,883.650,5.093,2.228
1,12/13/17,3.December,MSM,dry,NA,1.66,5.06,36.47,4.492,0.194,3.32,0.18,18.444,315.180,0.447,2.402
2,12/13/17,3.December,MSM,wet,NA,1.66,4.82,38.1,5.195,0.197,4.52,0.28,16.143,422.020,0.023,2.361
3,12/13/17,3.December,MSM,wet,NA,1.66,5.12,32.21,4.517,1.004,3.83,0.15,25.533,206.600,-0.132,0.775
4,12/13/17,3.December,MSM,dry,NA,1.66,4.84,40.83,2.707,0.199,5.37,0.32,16.781,600.520,-0.264,2.494
5,12/13/17,3.December,MSM,dry,NA,1.66,5.48,46.55,4.454,0.524,3.58,0.16,22.375,337.120,0.463,3.428
6,12/13/17,3.December,MSM,dry,NA,1.66,5.46,33.32,2.197,0.952,3.96,0.19,20.842,455.980,0.219,1.531
7,12/13/17,3.December,MSM,dry,NA,1.66,5.15,45.17,14.610,1.735,4.97,0.27,18.407,718.440,0.007,3.179
8,12/13/17,3.December,MSM,wet,NA,1.66,5.38,30.64,16.343,0.576,3.19,0.11,29.000,195.970,-0.091,0.756
9,12/13/17,3.December,MSM,wet,NA,1.66,5.52,30.03,8.218,1.018,3.10,0.11,28.182,27.770,-0.045,0.502
10,12/13/17,3.December,MSM,wet,NA,1.66,5.23,33.43,10.140,0.976,2.48,0.09,27.556,-27.070,0.017,0.795
11,12/13/17,3.December,MSM,wet,NA,1.66,5.14,41.71,16.006,0.221,4.18,0.18,23.222,365.740,-0.041,2.851
12,12/13/17,3.December,MSM,dry,NA,1.66,4.98,56.78,7.271,0.275,4.55,0.23,19.783,595.580,0.014,3.184
